,title,url,time_published,authors,summary,banner_image,source,category_within_source,source_domain,topics,overall_sentiment_score,overall_sentiment_label,ticker_sentiment
0,German authorities seize 50K BTC connected to piracy websites,https://cointelegraph.com/news/german-authorities-seize-50k-bitcoin,20240130T145357,['Turner Wright'],"According to the Saxony police, ""a final decision has not yet been made about the utilization of the ...","https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-01/22f30b29-429e-4e27-93a5-7d00991c7afe.jpg",Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.451494'}]",-0.028232,Neutral,"[{'ticker': 'COIN', 'relevance_score': '0.174587', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.922387', 'ticker_sentiment_score': '-0.067551', 'ticker_sentiment_label': 'Neutral'}]"
0,Market Whales and Their Recent Bets on NFLX Options - Netflix  ( NASDAQ:NFLX ) ,https://www.benzinga.com/insights/options/24/01/36846688/market-whales-and-their-recent-bets-on-nflx-options,20240130T144633,['Benzinga Insights'],"Whales with a lot of money to spend have taken a noticeably bearish stance on Netflix. Looking at options history for Netflix NFLX we detected 9 trades. If we consider the specifics of each trade, it is accurate to state that 22% of the investors opened trades with bullish expectations and 77% ...",https://cdn.benzinga.com/files/images/story/2023/movers_image_0.jpeg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Earnings', 'relevance_score': '0.360215'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.459462'}]",0.108125,Neutral,"[{'ticker': 'NFLX', 'relevance_score': '0.756001', 'ticker_sentiment_score': '0.135701', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'BCS', 'relevance_score': '0.077343', 'ticker_sentiment_score': '0.0', 'ticker_sentiment_label': 'Neutral'}]"
0,Janover Named 2024 Commercial Real Estate Tech Influencer by GlobeSt.com,https://www.globenewswire.com/news-release/2024/01/30/2820134/0/en/Janover-Named-2024-Commercial-Real-Estate-Tech-Influencer-by-GlobeSt-com.html,20240130T143900,['Janover Inc.'],GlobeSt.com highlights innovative organizations and individuals shaping the modernization of the commercial real estate industry GlobeSt.com highlights innovative organizations and individuals shaping the modernization of the commercial real estate industry ...,https://ml.globenewswire.com/Resource/Download/941c4459-3148-4ace-b86c-be811ca4b897,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'IPO', 'relevance_score': '0.158519'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.310843'}]",0.141607,Neutral,"[{'ticker': 'JNVR', 'relevance_score': '0.319488', 'ticker_sentiment_score': '0.304622', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
0,Coastal Financial Corporation Announces Fourth Quarter and Fiscal Year 2023 Results,https://www.globenewswire.com/news-release/2024/01/30/2820115/0/en/Coastal-Financial-Corporation-Announces-Fourth-Quarter-and-Fiscal-Year-2023-Results.html,20240130T142500,['Coastal Financial Corporation'],Fourth Quarter 2023 Highlights: ...,https://ml.globenewswire.com/Resource/Download/8426dd4f-fd39-4eef-869c-1a11c08c977b,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.990678'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}, {'topic': 'Earnings', 'relevance_score': '1.0'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",0.244907,Somewhat-Bullish,"[{'ticker': 'CCB', 'relevance_score': '0.020579', 'ticker_sentiment_score': '0.008563', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'CRYPTO:XCP', 'relevance_score': '0.008233', 'ticker_sentiment_score': '0.016401', 'ticker_sentiment_label': 'Neutral'}]"
0,"Bank of England to keep rates near 16-year high, but traders bet cuts are coming",https://www.marketwatch.com/story/bank-of-england-to-keep-rates-at-near-16-year-high-on-thursday-but-traders-bet-cuts-are-coming-b22a2bbe,20240130T140300,['Jamie Chisholm'],The Bank of England on Thursday is expected to follow the European Central Bank last week and the Federal Reserve the day before in leaving interest rates unchanged.,https://images.mktw.net/im-74423110?width=700&height=423,MarketWatch,Top Stories,www.marketwatch.com,"[{'topic': 'Economy - Monetary', 'relevance_score': '0.999973'}, {'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.650727'}]",-0.02678,Neutral,"[{'ticker': 'GS', 'relevance_score': '0.061315', 'ticker_sentiment_score': '0.129576', 'ticker_sentiment_label': 'Neutral'}, {'ticker': 'SCGLF', 'relevance_score': '0.061315', 'ticker_sentiment_score': '-0.098706', 'ticker_sentiment_label': 'Neutral'}]"
0,Wall Street's new asset class: Will Grayscale survive the Bitcoin ETF era?,https://cointelegraph.com/news/wall-street-grayscale-bitcoin-etf,20240130T140100,['Andrew Singer'],"Grayscale has a ""massive"" head start, but will the Wall Street firms like BlackRock and Fidelity soon overtake GBTC?","https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2024-01/1d8f4615-f8a3-487f-a7ea-faba4bed0af4.jpg",Cointelegraph,n/a,cointelegraph.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Blockchain', 'relevance_score': '0.769861'}, {'topic': 'Financial Markets', 'relevance_score': '1.0'}]",0.182546,Somewhat-Bullish,"[{'ticker': 'BLK', 'relevance_score': '0.207967', 'ticker_sentiment_score': '0.16189', 'ticker_sentiment_label': 'Somewhat-Bullish'}, {'ticker': 'MFC', 'relevance_score': '0.023372', 'ticker_sentiment_score': '-0.208625', 'ticker_sentiment_label': 'Somewhat-Bearish'}, {'ticker': 'CRYPTO:BTC', 'relevance_score': '0.339667', 'ticker_sentiment_score': '0.179008', 'ticker_sentiment_label': 'Somewhat-Bullish'}]"
0,"Community Resource Credit Union, CRCU Retirement and Investment Services, Partner With Trustage™",https://www.globenewswire.com/news-release/2024/01/30/2820030/29579/en/Community-Resource-Credit-Union-CRCU-Retirement-and-Investment-Services-Partner-With-Trustage.html,20240130T135500,"['Inc.', 'LPL Financial Holdings']",CRCU Retirement and Investment Services will onboard to the LPL Financial Institution Services platform CRCU Retirement and Investment Services will onboard to the LPL Financial Institution Services platform ...,https://ml.globenewswire.com/Resource/Download/53e1e8c9-85a6-4959-822d-a2cead7e0840,GlobeNewswire,n/a,www.globenewswire.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.99999'}]",0.448201,Bullish,"[{'ticker': 'LPLA', 'relevance_score': '0.360752', 'ticker_sentiment_score': '0.401661', 'ticker_sentiment_label': 'Bullish'}]"
0,"Community Resource Credit Union, CRCU Retirement and Investment Services, Partner With Trustage™ - LPL Finl Hldgs  ( NASDAQ:LPLA ) ",https://www.benzinga.com/pressreleases/24/01/g36844907/community-resource-credit-union-crcu-retirement-and-investment-services-partner-with-trustage,20240130T135500,['Globe Newswire'],"MADISON, Wis., Jan. 30, 2024 ( GLOBE NEWSWIRE ) -- TruStage, formerly CUNA Mutual Group, today announced an agreement to provide Community Resource Credit Union ( ""CRCU"" ) , one of the greater Houston area's largest credit unions, and CRCU Retirement and Investment Services, CRCU's wealth ...",https://www.benzinga.com/next-assets/images/schema-image-default.png,Benzinga,General,www.benzinga.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.999997'}]",0.42354,Bullish,"[{'ticker': 'LPLA', 'relevance_score': '0.442981', 'ticker_sentiment_score': '0.437376', 'ticker_sentiment_label': 'Bullish'}]"
0,"February Historically A Flat Month For Stocks, Small Caps Tend To Outperform - Invesco QQQ Trust, Series 1  ( NASDAQ:QQQ ) , SPDR S&P 500  ( ARCA:SPY ) ",https://www.benzinga.com/markets/24/01/36844648/february-historically-a-flat-month-for-stocks-small-caps-tend-to-outperform,20240130T134333,['Cory Mitchell'],"Over the last 20 years, February has been a mediocre month for stock market performance. Over that time frame, the S&P 500 has moved higher in 12 of those 20 years, accounting for a 60% ""success rate."" On average, the S&P 500 has an average gain of 0.2% in February.",https://cdn.benzinga.com/files/february_seasonality.jpg?width=1200&height=800&fit=crop,Benzinga,Markets,www.benzinga.com,"[{'topic': 'Finance', 'relevance_score': '1.0'}, {'topic': 'Financial Markets', 'relevance_score': '0.972756'}]",0.123006,Neutral,"[{'ticker': 'IVZ', 'relevance_score': '0.098659', 'ticker_sentiment_score': '0.099513', 'ticker_sentiment_label': 'Neutral'}]"
0,Blackstone's Aadhar Housing Finance targets $600 million India IPO: Report,https://www.business-standard.com/companies/news/blackstone-s-aadhar-housing-finance-targets-600-million-india-ipo-report-124013000696_1.html,20240130T134035,['Reuters'],"Private equity group Blackstone-owned Indian home loans provider, Aadhar Housing Finance, is targeting a $600-650 million initial public offering ( IPO ) at a valuation of up to $3 billion, two people with direct knowledge said on Tuesday.","https://bsmedia.business-standard.com/_media/bs/img/article/2023-07/19/full/1689791122-15.jpg?im=FeatureCrop,size=(826,465)",Business Standard,GoogleRSS,www.business-standard.com,"[{'topic': 'IPO', 'relevance_score': '0.682689'}, {'topic': 'Finance', 'relevance_score': '1.0'}]",-0.124118,Neutral,"[{'ticker': 'BX', 'relevance_score': '0.757528', 'ticker_sentiment_score': '-0.238716', 'ticker_sentiment_label': 'Somewhat-Bearish'}]"
